game_link,name,price of game,developer of game,genres of games,features of game,publisher of game,date release,recommended_os,cpu,memory,gpu_x,storage,Critics Recommend,OpenCritic Rating,platform,Top Critic Average
Vengeful Heart₹239,VENGEFUL HEART,₹239,DeveloperSalmon Snake,AdventureNarrationIndie,Single Player,"PublisherTop Hat Studios, Inc.",Release Date03/14/22,Windows 7,,2GB,,Intel Integrated Graphics,,,Windows,
HENCHMAN STORY₹349,HENCHMAN STORY,₹349,"DeveloperSilken Sail Entertainment, LLC",AdventureComedyIndie,Single Player,"PublisherTop Hat Studios, Inc.",Release Date02/17/22,Windows 7,,2GB,,Intel Integrated Graphics,,,Windows,
Forgotten Fields-30%₹309₹216.30,Forgotten Fields,₹216.30,DeveloperFrostwood Interactive/Dino Digital,AdventureExplorationIndie,Single PlayerController Support,"PublisherTop Hat Studios, Inc.",Release Date02/22/22,Windows 7,,4GB,,Intel Integrated Graphics,38%,Fair,PlatformWindowsWindows,68
Fires At Midnight-30%₹279₹195.30,FIRES AT MIDNIGHT,₹195.30,DeveloperPersona Theory Games,AdventureIndieNarration,Single Player,"PublisherTop Hat Studios, Inc.",Release Date04/12/22,Windows 7,,4GB,,Intel Integrated Graphics,,,Windows,
Sense - A Cyberpunk Ghost Story-30%₹469₹328.30,Sense - A Cyberpunk Ghost Story,₹328.30,DeveloperSUZAKU,AdventureHorrorSurvival,Single PlayerController Support,"PublisherTop Hat Studios, Inc.",Release Date02/15/22,Windows 7,,4GB,,Intel Integrated Graphics,15%,Weak,PlatformWindowsWindows,65
Kawaii Deathu Desu-30%₹89₹62.30,Kawaii Deathu Desu,₹62.30,DeveloperPippin Games,ActionFightingIndie,Co-opSingle PlayerMultiplayerController Support,"PublisherTop Hat Studios, Inc.",Release Date02/08/22,Windows 7,,4GB,,Intel Integrated Graphics,,,PlatformWindowsWindows,
Merrily Perilly₹89,Merrily Perilly,₹89,DeveloperSquiddershins,AdventureComedyExploration,Single PlayerController Support,"PublisherTop Hat Studios, Inc.",Release Date02/08/22,Windows 7,,4GB,,Intel Integrated Graphics,,,PlatformWindowsWindows,
Reverie Knights Tactics₹699,Reverie Knights Tactics,₹699,Developer40 Giants Entertainment,IndieTurn-BasedRPG,Single Player,Publisher1C Entertainment,Release Date01/25/22,Windows 7/8/10 64-bit,,4 GB,9 GB,Intel(R) HD Graphics 4000,64%,Fair,PlatformWindowsWindowsMac OSMac OS,71
"Mail TimeAvailable Q1, 2022₹469",Mail Time,,DeveloperKela van der Deijl,IndieAdventure,Single Player,PublisherFreedom Games,"AvailableQ1, 2022",Windows 7,,8GB,,Kela van der Deijl,,,PlatformWindowsWindows,
KeyWeNEW TO EPIC₹589,KeyWe,₹589,DeveloperStonewheat & Sons,Casual,Co-op,PublisherFireshine Games,Release Date04/28/22,WIN7-64 bit,,4 gb,4 gb,"KeyWe is a cute, co-operative postal puzzler starring Jeff and Debra, two small kiwi birds working in a whimsical post office.With no hands to help them, they must jump, flap, peck and butt-slam their way across an interactive landscape of levers, bells and buttons to get those messages delivered on time.Mailroom Mayhem!Take on the role of a postal-working kiwi bird and partner up with a friend to type out telegrams, send urgent messages, ship packages and keep the mail flowing.Cute Chaotic Co-OPBuddy up on the couch or flock online.Equally Cute Single PlayerControl both kiwi birds on a single controller to venture out on a solo mail service adventure.Perilous Postal EnvironmentsNavigate post office desks and shipping rooms to become a master of the mail service.Seasonal SillinessEncounter hazards caused by wintery weather, autumnal thunderstorms and more on the way to becoming postal pros.Customizable KiwisChange the color of your kiwi’s feathers and unlock new accessories – because kiwi birds look cute in little hats!",62%,Strong,Windows,75
RAINSWEPT₹279,RAINSWEPT,₹279,DeveloperFrostwood Interactive,AdventureIndieExploration,Single PlayerController Support,"PublisherTop Hat Studios, Inc.",Release Date02/18/22,Windows 7,,4GB,,"LIFE (AND DEATH) IS A MYSTERYDetective Michael Stone arrives in the small town of Pineview to assist the local police with a seemingly simple case - A couple is found dead in their kitchen. The locals believe it to be a case of murder-suicide, their speculation fueled by rumors of the turbulent nature of the couple's relationship.Is it just small-town gossip, or is there some truth to the rumors?Help Detective Stone, assisted by the driven and empathetic Amy Blunt, discover the truth behind Chris and Diane's story. But be warned: the further he pursues the case, the more his own past shall come back to haunt him.WHO'S WHOAs Detective Stone, explore the beautiful town of Pineview, talk to the many locals, interview suspects, dig through the victims' pasts and try to piece together the story behind Chris and Diane's brutal deaths.Also play as Chris and experience his story with Diane - joining them in key moments of their lives together as they meet for the first time, get to know each other and fall in love.FEATURESAn emotionally captivating story set in an immersive and atmospheric game worldA wide cast of characters with deep histories, meaningful motivations and distinct personalitiesA moving original soundtrack by Micamic (Downfall, The Cat Lady, Lorelai)Pine trees, coffee and rain. Lots of rain.",,,PlatformWindowsWindows,
Dark Deity₹589,Dark Deity,₹589,DeveloperSword & Axe LLC,AdventureRPGStrategy,Single Player,PublisherFreedom Games,Release Date12/17/21,Windows 7+,,4 GB RAM,,Modern GPU Recommended,52%,Fair,Windows,74
Neighbours back From Hell₹633,Neighbours back From Hell,₹633,DeveloperFarbworks & THQ Nordic,PuzzleStrategy,,PublisherHandyGames,Release Date10/08/20,Windows 10,,4GB RAM,4GB Disc Space,"Neighbours back From HellThe neighbours from hell return! In this HD Remaster of the beloved childhood gems Neighbours From Hell 1 and 2, you play the star of a cheeky TV Show who is constantly pranking his nasty neighbour in the most creative and hilarious ways. You want to replace a candle with a firework? What about replacing the shaving cream with the whipped cream? Go for it!",,,PlatformWindowsWindows,
Let's Build A Zoo₹469,Let's Build a Zoo,₹469,DeveloperSpringloaded,SimulationCity BuilderStrategy,Single Player,PublisherNo More Robots,Release Date11/05/21,Windows 7 or later,,2 GB,,,,,PlatformWindowsWindows,
Nexomon: Extinction₹529,Nexomon: Extinction,₹529,DeveloperVEWO Interactive Inc.,RPG,Single Player,PublisherPQube Limited,Release Date11/30/21,Windows XP,,3 GB RAM,,,63%,Fair,Windows,72
Rescue Party: Live!₹829,Rescue Party: Live!,₹829,DeveloperTAG Studio,CasualParty,MultiplayerSingle Player,Publisher505 Games,Release Date01/13/22,Windows 7/8/10 64bit,,,Memory: 8 GB RAM,,,,PlatformWindowsWindows,
STORY OF SEASONS: Friends of Mineral Town₹899,STORY OF SEASONS: Friends of Mineral Town,,,,,,,,,,,,67%,Strong,Windows,77
Tacoma₹521,Tacoma,,,,,,,,,,,,62%,Strong,Windows,77
Fights in Tight Spaces₹589,Fights in Tight Spaces,,,,,,,,,,,,90%,Strong,Windows,81
Surviving Mars-75%₹699₹174.75,Surviving Mars,,,,,,,,,,,,63%,Strong,Windows,77
Surviving the Aftermath₹699,Surviving the Aftermath,,,,,,,,,,,,,,Windows,
"WRC 8 FIA World Rally Championship₹1,099",WRC 8 FIA World Rally Championship,,,,,,,,,,,,,,Windows,
"WRC 9 FIA World Rally Championship₹1,099",WRC 9 FIA World Rally Championship,,,,,,,,,,,,80%,Strong,Windows,79
Insurgency: Sandstorm₹999,Insurgency: Sandstorm,,,,,,,,,,,,60%,Strong,Windows,79
"SnowRunner₹1,199",SnowRunner,,,,,,,,,,,,80%,Strong,Windows,80
Northgard₹709,Northgard,,,,,,,,,,,,80%,Strong,Windows,80
SUPERHOT₹595,SUPERHOT,,,,,,,,,,,,77%,Strong,Windows,82
"Anno 1800 Standard Edition₹3,129",Anno 1800,,,,,,,,,,,,94%,Strong,Windows,81
"NBA 2K21₹3,299",NBA 2K21,,,,,,,,,,,,36%,Fair,Windows,68
Totally Reliable Delivery Service Standard Edition₹446,Totally Reliable Delivery Service,,,,,,,,,,,,,,Windows,
The Escapists₹521,The Escapists,,,,,,,,,,,,46%,Fair,Windows,73
My Time At Portia₹745,My Time At Portia,,,,,,Release Date01/15/19,,,,,,63%,Strong,Windows,75
Subnautica₹709,Subnautica,,,,,,Release Date01/23/18,,,,,,92%,Mighty,Windows,85
The Witness₹819,The Witness,,,,,,Release Date01/26/16,,,,,,80%,Mighty,Windows,86
Aztez₹521,Aztez,,,,,,Release Date02/06/20,,,,,,86%,Strong,Windows,82
Rainbow Billy: The Curse of the Leviathan₹469,Rainbow Billy: The Curse of the Leviathan,,,,,,Release Date02/08/22,,,,,,83%,Strong,Windows,81
Flower₹223,Flower,,,,,,Release Date02/14/19,,,,,,,,Windows,
The Colonists₹589,The Colonists,,,,,,Release Date02/24/21,,,,,,60%,Fair,Windows,74
Anodyne 2: Return To Dust₹521,Anodyne 2: Return To Dust,,,,,,Release Date02/28/20,,,,,,71%,Fair,Windows,73
Wife Quest₹139,WIFE QUEST,,,,,,Release Date03/03/22,,,,,,,,Windows,
"Saviors of Sapphire Wings & Strangers of Sword City Revisited-40%₹1,179₹707.40",Saviors of Sapphire Wings & Strangers of Sword City Revisited,,,,,,Release Date03/16/21,,,,,,,,Windows,
MONOPOLY® PLUS₹749,MONOPOLY® PLUS,,,,,,Release Date03/17/20,,,,,,,,Windows,
Paradise Killer₹469,Paradise Killer,,,,,,Release Date03/17/22,,,,,,88%,Strong,Windows,82
Assassin's Creed Rogue Standard Edition₹999,Assassin's Creed Rogue,,,,,,Release Date03/25/20,,,,,,31%,Fair,Windows,70
"KINGDOM HEARTS III + Re Mind (DLC)₹3,999",KINGDOM HEARTS III + Re Mind (DLC),,,,,,Release Date03/30/21,,,,,,85%,Mighty,Windows,84
"KINGDOM HEARTS HD 2.8 Final Chapter Prologue₹3,999",KINGDOM HEARTS HD 2.8 Final Chapter Prologue,,,,,,Release Date03/30/21,,,,,,47%,Strong,Windows,76
"KINGDOM HEARTS Melody of Memory₹3,999",KINGDOM HEARTS Melody of Memory,,,,,,Release Date03/30/21,,,,,,65%,Strong,Windows,76
"KINGDOM HEARTS HD 1.5+2.5 ReMIX₹2,999",KINGDOM HEARTS HD 1.5+2.5 ReMIX,,,,,,Release Date03/30/21,,,,,,89%,Strong,Windows,82
Fez₹297,Fez,,,,,,Release Date04/13/13,,,,,,87%,Mighty,Windows,88
Spirit of the NorthNEW TO EPIC₹469,Spirit of the North,,,,,,Release Date04/19/22,,,,,,31%,Weak,Windows,63
Everything₹446,Everything,,,,,,Release Date04/21/17,,,,,,51%,Fair,Windows,73
"Trolley Problem, Inc.NEW TO EPIC₹259","Trolley Problem, Inc.",,,,,,Release Date04/21/22,,,,,,57%,Strong,Windows,81
Unrailed!NEW TO EPIC₹489,Unrailed!,,,,,,Release Date04/25/22,,,,,,65%,Strong,Windows,75
SephonieNEW TO EPIC₹709,Sephonie,,,,,,Release Date04/26/22,,,,,,,,Windows,
A Good Snowman is Hard to Build₹239,A Good Snowman is Hard to Build,,,,,,Release Date04/27/21,,,,,,,,Windows,
Levelhead₹521,Levelhead,,,,,,Release Date04/30/20,,,,,,,,Windows,
Skate City₹349,Skate City,,,,,,Release Date05/06/21,,,,,,,,Windows,
Subnautica Below Zero₹709,Subnautica Below Zero,,,,,,Release Date05/14/21,,,,,,,,Windows,
RiME₹819,RiME,,,,,,Release Date05/26/17,,,,,,68%,Strong,Windows,79
The Longest Road on Earth₹239,The Longest Road on Earth,,,,,,Release Date05/27/21,,,,,,,,Windows,
Disco Elysium₹894,Disco Elysium - The Final Cut,,,,,,Release Date06/06/20,,,,,,96%,Mighty,Windows,92
Chicory: A Colorful Tale₹469,Chicory: A Colorful Tale,,,,,,Release Date06/11/21,,,,,,96%,Mighty,Windows,88
GNOG₹297,GNOG,,,,,,Release Date06/17/18,,,,,,55%,Fair,Windows,73
Drawful 2₹372,Drawful 2,,,,,,Release Date06/21/16,,,,,,,,Windows,
LEGO® Batman™ 2: DC Super Heroes₹521,LEGO® Batman™ 2: DC Super Heroes,,,,,,Release Date06/22/12,,,,,,,,Windows,
"SpongeBob SquarePants: Battle for Bikini Bottom - Rehydrated₹1,139",SpongeBob SquarePants: Battle for Bikini Bottom - Rehydrated,,,,,,Release Date06/23/20,,,,,,46%,Fair,Windows,70
Valiant Hearts: The Great War₹749,Valiant Hearts: The Great War,,,,,,Release Date06/25/15,,,,,,68%,Strong,Windows,80
AER Memories of Old₹372,AER,,,,,,Release Date06/25/20,,,,,,38%,Fair,Windows,67
Doki Doki Literature Club Plus!₹459,Doki Doki Literature Club Plus!,,,,,,Release Date06/30/21,,,,,,95%,Mighty,Windows,87
Slime Rancher₹595,Slime Rancher,,,,,,Release Date08/01/17,,,,,,64%,Strong,Windows,76
7 Billion Humans₹446,7 Billion Humans,,,,,,Release Date08/23/18,,,,,,,,Windows,
Behind the Frame: The Finest Scenery₹239,Behind the Frame: The Finest Scenery,,,,,,Release Date08/25/21,,,,,,,,Windows,
"Control₹2,161",Control,,,,,,Release Date08/27/19,,,,,,90%,Mighty,Windows,84
Donut County₹446,Donut County,,,,,,Release Date08/28/18,,,,,,62%,Strong,Windows,76
Redout: Space Assault₹239,Redout: Space Assault,,,,,,Release Date09/01/21,,,,,,12%,Weak,Windows,60
Falcon Age₹595,Falcon Age,,,,,,Release Date09/06/19,,,,,,50%,Fair,Windows,69
Crysis Remastered-60%₹709₹283.60,Crysis Remastered,,,,,,Release Date09/18/20,,,,,,22%,Weak,Windows,65
The Sojourn₹745,The Sojourn,,,,,,Release Date09/20/19,,,,,,40%,Fair,Windows,72
Sable₹589,Sable,,,,,,Release Date09/23/21,,,,,,,,Windows,
"RollerCoaster Tycoon 3 Complete Edition₹1,490",RollerCoaster Tycoon 3 Complete Edition,,,,,,Release Date09/24/20,,,,,,72%,Strong,Windows,75
"DRAGON QUEST® XI S: Echoes of an Elusive Age™₹2,608",DRAGON QUEST® XI S: Echoes of an Elusive Age™,,,,,,Release Date09/24/20,,,,,,89%,Mighty,Windows,88
LEGO® Batman™: The Videogame₹521,LEGO® Batman™: The Videogame,,,,,,Release Date09/28/08,,,,,,,,Windows,
WHAT THE GOLF?₹595,WHAT THE GOLF?,,,,,,Release Date10/01/19,,,,,,97%,Mighty,Windows,84
Pikuniku₹297,Pikuniku,,,,,,Release Date10/01/20,,,,,,68%,Strong,Windows,76
World of Goo₹446,World of Goo,,,,,,Release Date10/13/08,,,,,,,,Windows,
The Jackbox Party Pack 2₹595,The Jackbox Party Pack 2,,,,,,Release Date10/13/15,,,,,,58%,Strong,Windows,76
Human Resource Machine₹446,Human Resource Machine,,,,,,Release Date10/15/15,,,,,,,,Windows,
The Jackbox Party Pack 7₹709,The Jackbox Party Pack 7,,,,,,Release Date10/15/20,,,,,,78%,Strong,Windows,79
The Jackbox Party Pack 5₹670,Jackbox Party Pack 5,,,,,,Release Date10/17/17,,,,,,78%,Strong,Windows,79
The Jackbox Party Pack 6₹670,Jackbox Party Pack 6,,,,,,Release Date10/17/19,,,,,,60%,Fair,Windows,74
Jackbox Party Pack 3₹595,The Jackbox Party Pack 3,,,,,,Release Date10/18/18,,,,,,73%,Strong,Windows,80
Rise of the Tomb Raider: 20 Year Celebration₹999,Rise of the Tomb Raider: 20 Year Celebration,,,,,,Release Date10/18/21,,,,,,91%,Mighty,Windows,87
The Jackbox Party Pack 4₹595,Jackbox Party Pack 4,,,,,,Release Date10/19/17,,,,,,68%,Strong,Windows,78
Democracy 4₹639,Democracy 4,,,,,,Release Date10/21/20,,,,,,,,Windows,
Scourgebringer₹409,ScourgeBringer,,,,,,Release Date10/21/20,,,,,,82%,Strong,Windows,81
Subway Midnight₹239,Subway Midnight,,,,,,Release Date10/28/21,,,,,,,,Windows,
LEGO® Batman™ 3: Beyond Gotham₹745,LEGO® Batman™ 3: Beyond Gotham,,,,,,Release Date11/11/14,,,,,,,,Windows,
Bee Simulator₹759,Bee Simulator,,,,,,Release Date11/14/19,,,,,,26%,Weak,Windows,58
The Jackbox Party Pack₹595,The Jackbox Party Pack,,,,,,Release Date11/18/14,,,,,,,,Windows,
Production Line₹589,Production Line,,,,,,Release Date11/20/20,,,,,,,,Windows,
Evan's Remains₹186,Evan's Remains,,,,,,Release Date11/30/20,,,,,,68%,Fair,Windows,72
Shadow Tactics - Aiko's Choice₹429,Shadow Tactics - Aiko's Choice,,,,,,Release Date12/06/21,,,,,,89%,Mighty,Windows,84
The Darkside Detective₹309,The Darkside Detective,,,,,,Release Date12/07/21,,,,,,68%,Strong,Windows,76
SuperMash₹595,SuperMash,,,,,,Release Date12/10/19,,,,,,17%,Weak,Windows,51
Gorogoa₹446,Gorogoa,,,,,,Release Date12/14/17,,,,,,91%,Mighty,Windows,85
Big Pharma₹589,Big Pharma,,,,,,Release Date12/15/20,,,,,,,,Windows,
Wattam₹595,Wattam,,,,,,Release Date12/17/19,,,,,,65%,Fair,Windows,74
"Medieval Dynasty₹1,490",Medieval Dynasty,,,,,,Release Date12/17/20,,,,,,,,Windows,
"Disaster Report 4: Summer Memories-50%₹1,419₹709.50",Disaster Report 4: Summer Memories,,,,,,Release Date12/17/20,,,,,,18%,Weak,Windows,54
Tomb Raider GAME OF THE YEAR EDITION₹899,Tomb Raider GOTY,,,,,,Release Date12/30/21,,,,,,,,Windows,
Stygian: Reign of the Old Ones₹569,Stygian: Reign of the Old Ones,₹569,DeveloperCultic Games,HorrorIndieRPG,Single Player,Publisher1C Entertainment,Release Date03/03/22,Windows 7 - 64bit,,2 GB,Nvidia 450 GTS / Radeon HD 5750 or better,5 GB,58%,Strong,Windows,78
Kardboard Kings₹469,Kardboard Kings,₹469,"DeveloperHenry's House, Oscar Brittan & Rob Gross",SimulationStrategyCasual,Single Player,PublisherAkupara Games,Release Date02/10/22,Win 10,,2 GB RAM,NVIDIA 860 GTX,2GB Available Space,,,PlatformWindowsWindows,
Darksiders II Deathinitive Edition₹999,Darksiders II Deathinitive Edition,₹999,"Developer Gunfire Games, Vigil Games, THQ Nordic",ActionRPGAdventure,Controller Support,PublisherTHQ Nordic,Release Date11/05/15,"Windows XP, Windows Vista SP1, Windows 7, Windows 8 or Windows 10 (64bit)",,4 GB RAM,NVIDIA 9800 GT 512 MB Video Card or AMD equivalent,13 GB available space,53%,Fair,PlatformWindowsWindows,73
"Song of Horror Complete Edition₹1,999",Song of Horror Complete Edition,"₹1,999",DeveloperProtocol Games,HorrorAdventureAction,Single PlayerController Support,PublisherRaiser Games,Release Date03/10/22,"Windows 7, 8 or 10",,8 GB,"NVIDIA GeForce 660 GTX, Radeon HD 7950 or similar",25 GB,53%,Fair,Windows,71
Kings Bounty Armored Princess₹369,King's Bounty: Armored Princess,₹369,DeveloperKatauri Interactive,RPGAdventure,Single Player,Publisher1C Entertainment,Release Date03/08/22,Windows XP/Vista,,1 GB,nVidia GeForce 6600 with 128 MB or equivalent ATI,5.5 GB of free space,,,Windows,
Kings Bounty The Warriors of the North₹369,King's Bounty: Warriors of the North,₹369,Developer1C-SoftClub,AdventureRPG,Single Player,Publisher1C Entertainment,Release Date03/08/22,Windows XP/Vista/7,,1 GB RAM,nVidia GeForce 6600 with 128 Mb VRAM or similar AMD card,8 GB,,,Windows,
Kings Bounty The Legend₹319,King's Bounty: The Legend,₹319,DeveloperKatauri Interactive,StrategyRPG,Single Player,Publisher1C Entertainment,Release Date03/03/22,Windows® XP/Vista™ 32-bit,,2 GB,NVIDIA GeForce 7900 512MB or ATI Radeon X1900 512MB,"5,5 GB",,,Windows,
VELONE₹489,VELONE,₹489,DeveloperZAR 21,Puzzle,Single Player,PublisherDaedalic Entertainment,Release Date04/21/22,Windows 8.1/10,,4 GB RAM,NVIDIA GeForce GT 420 or ATI Radeon HD 5570,3 GB available space,,,PlatformWindowsWindowsMac OSMac OS,
Warpips-42%₹489₹283.62,Warpips,₹283.62,DeveloperSkirmish Mode Games,Rogue-LiteStrategy,Controller SupportSingle Player,PublisherDaedalic Entertainment,Release Date04/21/22,Windows 8.1/10,,4 GB RAM,NVIDIA GeForce GT 420 or ATI Radeon HD 5570,550 MB available space,,,PlatformWindowsWindows,
The Dark Prophecy₹239,The Dark Prophecy,₹239,DeveloperStart Warp,Adventure,Single Player,PublisherMeridian4,Release Date02/28/22,Window 7,,2 GB,NVIDIA GeForce GT 440 1GB,500 MB,,,PlatformWindowsWindowsMac OSMac OS,
Defunct₹239,Defunct,₹239,DeveloperFreshly Squeezed,Racing,Single Player,PublisherSOEDESCO,Release Date03/01/22,Windows XP SP2,,2 GB RAM,NVIDIA GeForce GT 555M or AMD Radeon HD 6770M,4 GB available space,15%,Weak,Windows,62
Happy's Humble Burger Farm₹529,Happy's Humble Burger Farm,₹529,DeveloperScythe Dev Team,Action-AdventureSimulationIndie,Single Player,PublishertinyBuild,Release Date12/03/21,10,,8 Gb,NVIDIA GeForce GT 730,15 Gb,63%,Fair,PlatformWindowsWindows,69
Aspire Inas Tale₹309,Aspire: Ina's Tale,₹309,DeveloperWondernaut Studio,Action-Adventure,Single Player,PublisherUntold Tales S.A.,Release Date12/17/21,Windows 10,,8GB,NVIDIA GeForce GT 750M,3GB,54%,Strong,PlatformWindowsWindows,78
What Lies in the Multiverse₹349,What Lies in the Multiverse,₹349,DeveloperIguanaBee SpA.,Adventure,Single Player,PublisherUntold Tales S.A.,Release Date03/04/22,Windows 10,,4,"NVIDIA GeForce GT 750M, 2 GB Memory",3GB,82%,Strong,PlatformWindowsWindows,80
The Walking Dead: Final Season-60%₹521₹208.40,The Walking Dead: Final Season,₹208.40,DeveloperTelltale Games,NarrationAdventure,Single PlayerController Support,PublisherSkybound Games,Release Date08/14/18,Windows 7 64Bit Service Pack 1,,3 GB RAM,Nvidia GeForce GTS 450 2GB,15 GB available space,72%,Strong,PlatformWindowsWindows,78
"The Walking Dead : The Definitive Series-50%₹1,415₹707.50",The Walking Dead : The Telltale Definitive Series,₹707.50,DeveloperSkybound Games,NarrationAdventure,Single PlayerController Support,PublisherSkybound Games,Release Date09/10/19,7 64Bit Service Pack 1,,3 GB RAM,Nvidia GeForce GTS 450 2GB,15 GB available space,85%,Mighty,PlatformWindowsWindows,85
Five Nights at Freddy's: Security Breach₹939,Five Nights at Freddy's: Security Breach,₹939,DeveloperSteel Wool Studios,HorrorStealthIndie,Single Player,PublisherScottGames,Release Date03/01/22,Windows 10 (64 bit),,8 GB RAM,Nvidia GeForce GTX 1050 Ti,80 GB,,,Windows,
Nibiru₹469,Nibiru,₹469,DeveloperWild Monkey,Action-AdventureOpen WorldSurvival,Single PlayerCo-op,PublisherFreedom Games,Release Date03/22/22,64-bit Windows 10,,8 GB,NVIDIA GeForce GTX 1060 3GB or AMD Radeon RX 480 4GB,10 GB available space,,,PlatformWindowsWindows,
ATOM RPG₹479,ATOM RPG,₹479,DeveloperATOM TEAM,RPGIndieTurn-Based,Single Player,PublisherATOM TEAM,Release Date04/07/22,Windows 64-bit (7 SP1/8/8.1/10),,2 GB RAM,NVIDIA GeForce GTX 260 / Radeon HD 4670 1GB / Intel HD 4600,10 GB available space,,,PlatformWindowsWindowsMac OSMac OS,
Rainbow Six Siege Standard Edition₹999,Rainbow Six Siege,₹999,DeveloperUbisoft,ActionShooterStrategy,Controller SupportCo-opMultiplayer,PublisherUbisoft,Release Date12/01/15,Windows 7 | Windows 8.1 | Windows 10 | 64 bit only,,6 GB RAM,NVIDIA GeForce GTX 460 | AMD Radeon HD 5870 (DirectX-11 compliant with 1GB of VRAM),Broadband Internet connection,55%,Strong,PlatformWindowsWindows,76
